match_id,fecha,jornada,competicion,equipo_local,equipo_visitante,resultado,goles_local,goles_visitante,estadio,arbitro,manager_local,manager_visitante,res_local,res_visitante,titulares_local_ids,suplentes_local_ids,titulares_visitante_ids,suplentes_visitante_ids,goleadores_local_ids,goles_local_count,goleadores_visitante_ids,goles_visitante_count,cantidad_tarjetas_amarillas_local,id_jugadores_local_amarilla,cantidad_tarjetas_amarillas_visita,id_jugadores_visitante_amarilla,cantidad_tarjetas_rojas_local,id_jugadores_local_roja,cantidad_tarjetas_rojas_visita,id_jugadores_visitante_roja,Cuota 1,Cuota X,Cuota 2
30860,2022-08-12,Round 1,First Division,Osasuna,Sevilla,2-1,2,1,Estadio El Sadar  (Pamplona (Iruñea),Del Cerro Grande,Arrasate,Lopetegui,2,1,"201971,18046,201317,201018,86177,23928,22606,8752,8678,19024,21481","22773,20098,43090,9395,302292,19227,21427,300174,20120,22669,201045,27214","101861,1251,78077,95741,29160,26241,84013,97612,70090,82287,23132","27550,8548,27076,97738,20092,404684,27655,29773,20128,12372,301804,19973","21481,23928",2.0,23132,1.0,5.0,"201971,201317,201018,8678,21481",3.0,"84013,97612,27550",0.0,0,0.0,0,3.24,3.04,2.44
30861,2022-08-13,Round 1,First Division,Celta de Vigo,Espanyol,2-2,2,2,Abanca-Balaídos  (Vigo),Ortiz Arias,Coudet,Diego Martínez,2,2,"25572,12600,25612,22336,20173,20079,25297,29002,12214,70504,6326","78168,20977,26424,23230,27601,20482,22803,43011,102347,100426,43007,45101","82651,27951,23525,21352,300366,12498,21032,23627,30024,15228,9301","28184,110613,26739,15237,106528,26712,28136,304041,26538,43113","6326,70504",2.0,"28184,9301",2.0,5.0,"25572,12600,25612,20173,6326",2.0,"23525,30024",0.0,0,0.0,0,1.75,3.59,4.9
30862,2022-08-13,Round 1,First Division,Valladolid,Villarreal,0-3,0,3,Estadio Municipal José Zorrilla  (Valladolid),Melero López,Pacheta,Emery,0,3,"4062,24053,402016,29328,9392,22619,24297,21033,200585,25806,12518","21222,24419,101009,401040,402473,300050,200847,200661,40159,13192,22258,21024","18174,25374,23355,2290,23095,95573,6164,91017,15097,8675,15094","82607,24868,304049,301763,1504,43154,24508,23365,24317",0,0.0,"15097,304049,304049",3.0,1.0,200585,0.0,0,0.0,0,0.0,0,3.47,3.36,2.16
30863,2022-08-13,Round 1,First Division,Barcelona,Rayo Vallecano,0-0,0,0,Spotify Camp Nou  (Barcelona),Hernández Hernández,Xavi,Iraola,0,0,"93292,304055,21908,84094,9333,11269,25651,6857,70294,84451,93207","98023,300367,82206,78218,23758,20068,25004,22923,23403,24589,97737,944","402399,3793,22401,13748,28183,26734,202401,2121,21120,402020,21812","84014,21514,401011,13729,20687,95465,1914,22568,576,13379,21649,13378",0,0.0,0,0.0,2.0,"6857,84451",6.0,"402399,22401,13748,26734,2121,13729",1.0,6857,0.0,0,1.22,6.55,13.22
30864,2022-08-14,Round 1,First Division,Cádiz,Real Sociedad,0-1,0,1,Estadio Nuevo Mirandilla  (Cádiz),Díaz de Mera,Sergio,Imanol,0,1,"28767,201044,23943,301762,200433,12944,23739,400345,200426,12511,8750","26509,22082,12945,4027,29214,101852,6253,6288,30517,204385,110361","201983,202438,22240,22404,301310,22483,19027,21041,537,26515,26262","22578,22759,12582,28737,206629,26732,43069,22358,27947,22314,23755,22429",0,0.0,26515,1.0,4.0,"201044,301762,12511,22082",2.0,"21041,12582",0.0,0,0.0,0,3.74,3.03,2.2
30865,2022-08-14,Round 1,First Division,Valencia,Girona,1-0,1,0,Estadio de Mestalla  (Valencia),Figueroa Vázquez,Gattuso,Míchel,1,0,"12935,22681,13277,28075,26925,26778,23146,23542,24700,25825,18155","302283,20265,15258,23912,13178,301736,24250,43144,20818,22451,23811,24581","101023,19835,24523,300554,9371,15143,302245,200119,23741,20948,1010860","12663,304051,15099,12962,22846,15141,12965,23997,13197,41632,13384",23146,1.0,0,0.0,2.0,"22681,26925",3.0,"19835,200119,20948",1.0,13277,0.0,0,1.85,3.5,4.39
30866,2022-08-14,Round 1,First Division,Almería,Real Madrid,1-2,1,2,Power Horse Stadium – Estadio de los Juegos Mediterráneos  (Almería),Martínez Munuera,Rubi,Ancelotti,1,2,"400349,32898,22608,22194,85055,20049,27821,19074,201285,26997,27094","40009,12415,402092,70364,22175,27659,26855,23445,23442","13727,101266,93402,22869,28266,200113,28344,22396,92802,20660,12426","93161,16331,95685,18002,15261,19004,26682,20583,301239,202439,16806,20659",26997,1.0,"101266,93161",2.0,3.0,"27094,40009,402092",1.0,22869,0.0,0,0.0,0,6.98,4.81,1.43
30867,2022-08-15,Round 1,First Division,Athletic Club,Mallorca,0-0,0,0,San Mamés  (Bilbao),Iglesias Villanueva,Valverde,Aguirre,0,0,"22117,9277,22519,202395,12460,12441,20793,16832,19025,202397,22162","20797,20178,204337,2294,43075,300444,22335,20796,201266,22447,20795,202398","25705,301806,24644,20741,401446,12615,70347,100293,82249,23558,28512","23373,20889,8533,301113,11677,23528,13279,29575,24649,23151",0,0.0,0,0.0,0.0,0,6.0,"24644,70347,100293,82249,23558,20889",0.0,0,0.0,0,1.57,3.86,6.53
30868,2022-08-15,Round 1,First Division,Getafe,Atlético de Madrid,0-3,0,3,Coliseum Alfonso Pérez  (Getafe),Sánchez Martínez,Quique,Simeone,0,3,"402491,29122,19021,15246,21199,45278,23198,84474,20254,22115,20260","22333,300527,101289,110319,43258,21608,28999,45279,1014877,41998,22699,23521","18149,29588,70839,95524,20525,22037,82564,12503,101062,20535,8571","82276,12581,18142,20299,20017,20150,27643,18027,19830,13285,25431",0,0.0,"8571,8571,12581",3.0,2.0,"23198,20260",1.0,82276,0.0,0,0.0,0,5.5,3.06,1.85
30869,2022-08-15,Round 1,First Division,Betis,Elche,3-0,3,0,Estadio Benito Villamarín  (Sevilla),Cuadra Fernández,Pellegrini,Francisco,3,0,"70320,23106,23105,20033,301828,82254,27658,70061,12409,303958,102337","22843,21475,24656,24095,28786,12480,21125","300473,29916,301062,18171,15239,110148,16308,101267,12544,301250,300529","402078,23370,206796,402377,27077,20249,13295,301796,25422,23015","102337,12409,12409",3.0,0,0.0,4.0,"23106,82254,23675,12409",6.0,"15239,16308,12544,301250,300529,402377",0.0,0,1.0,110148,1.57,4.01,5.97
