jugador,id,equipo
Mariño,14000,Almería
Pozo,84014,Rayo Vallecano
Edgar,23105,Almería
Babić,22194,Almería
Akieme,20049,Almería
Baba,23373,Almería
Robertone,19074,Almería
Lázaro,30012,Almería
Ramazani,26997,Almería
Embarba,15237,Almería
Luis Suárez,24320,Almería
Pubill,29707,Almería
Lopy,40119,Almería
Melero,202422,Almería
Marezi,1069089,Almería
Arribas,27970,Almería
Fernando,400349,Almería
Puigmal,40009,Almería
Gui,46049,Almería
Chumi,22608,Almería
Iribarne,205460,Almería
Kaiky,32898,Almería
Centelles,23445,Almería
Dimitrievski,402399,Rayo Vallecano
Balliu,3793,Rayo Vallecano
Lejeune,13748,Rayo Vallecano
Aridane,100312,Rayo Vallecano
Espino,23739,Rayo Vallecano
Nteka,21649,Rayo Vallecano
Óscar Valentín,21514,Rayo Vallecano
Unai López,202401,Rayo Vallecano
Trejo,2121,Rayo Vallecano
Isi,21120,Rayo Vallecano
Álvaro García,402020,Rayo Vallecano
Salvi,401011,Rayo Vallecano
Pathé Ciss,26734,Rayo Vallecano
Chavarría,20945,Rayo Vallecano
Méndez,30331,Granada
Falcao,13729,Rayo Vallecano
Mumin,17562,Rayo Vallecano
Jorge Moreno,13132,Osasuna
Bebé,95465,Rayo Vallecano
Pablo Muñoz,13378,Rayo Vallecano
Morro,20687,Rayo Vallecano
Bono,101861,Sevilla
Jesús Navas,1251,Sevilla
Gudelj,78077,Sevilla
Badé,29431,Sevilla
Acuña,29160,Sevilla
Rakitić,8548,Sevilla
Suso,19975,Sevilla
Ocampos,82287,Sevilla
Lamela,97738,Sevilla
En-Nesyri,20092,Sevilla
Juanlu,25976,Sevilla
Sow,26096,Sevilla
Óliver Torres,19973,Sevilla
Gattoni,33958,Sevilla
Dmitrović,20128,Sevilla
Manu Bueno,201500,Sevilla
Tecatito Corona,70090,Sevilla
Montiel,404684,Sevilla
Papu Gómez,97612,Sevilla
Rafa Mir,23132,Sevilla
Jordán,301804,Sevilla
Pedrosa,23300,Sevilla
Mamardashvili,12935,Valencia
Thierry Correia,22681,Valencia
Cenk,29636,Valencia
Diakhaby,28075,Valencia
Gabriel Paulista,15211,Atlético de Madrid
Gayà,301280,Valencia
Fran Pérez,43144,Valencia
André Almeida,23702,Valencia
Pepelu,23179,Valencia
Diego López,40502,Valencia
Duro,24700,Valencia
Vázquez,209359,Cádiz
Guerra,40604,Valencia
Foulquier,15258,Valencia
Gozálbez,27536,Valencia
Rivero,24581,Valencia
Doménech,301736,Valencia
Iranzo,40605,Valencia
Tárrega,13199,Valencia
Hugo González,26926,Valencia
Tejón,208313,Valencia
Guillamón,23542,Valencia
Remiro,201983,Real Sociedad
